Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Current_Age
Mahindra XUV500 W8 2WD,Delhi,2012,72450,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1,12
Maruti Ciaz ZDi Plus SHVS,Jaipur,2017,36381,Diesel,Manual,First,28.09,1248.0,88.5,5.0,9.75,7
Mercedes-Benz New C-Class C 250 CDI Avantgarde,Coimbatore,2017,25559,Diesel,Automatic,First,19.71,2143.0,201.15,5.0,37.93,7
Honda City ZX CVT,Chennai,2005,100000,Petrol,Automatic,Third,16.4,1497.0,103.6,5.0,1.96,19
Toyota Fortuner 4x2 4 Speed AT,Jaipur,2015,94000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,20.5,9
Maruti Alto K10 VXI,Bangalore,2011,64357,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.75,13
Jaguar XJ 2.0L Portfolio,Mumbai,2017,10501,Petrol,Automatic,First,9.43,1999.0,237.4,5.0,75.0,7
Hyundai i20 1.4 Magna ABS,Chennai,2009,47000,Diesel,Manual,First,21.9,1396.0,103.6,5.0,2.8,15
Honda BRV i-VTEC V CVT,Mumbai,2017,18000,Petrol,Automatic,First,16.0,1497.0,117.3,7.0,9.25,7
Toyota Corolla Executive (HE),Chennai,2007,89000,Petrol,Manual,First,13.4,1794.0,125.0,5.0,3.0,17
Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2014,49964,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,23.89,10
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Mumbai,2014,35000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.75,10
Hyundai Grand i10 CRDi Sportz,Jaipur,2014,64000,Diesel,Manual,First,24.0,1120.0,103.6,5.0,4.15,10
Volkswagen Vento IPL II Petrol Highline AT,Mumbai,2013,36000,Petrol,Automatic,First,14.8,1598.0,105.0,5.0,4.65,11
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Delhi,2012,78600,Diesel,Manual,First,12.8,2494.0,102.0,7.0,8.9,12
Hyundai Verna CRDi SX,Jaipur,2008,170000,Diesel,Manual,Second,16.8,1493.0,110.0,5.0,1.5,16
Maruti Ritz VDi,Pune,2015,65000,Diesel,Manual,Second,23.2,1248.0,73.94,5.0,3.27,9
Audi Q7 3.0 TDI Quattro Technology,Pune,2008,120300,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,18.0,16
Hyundai i20 Asta Option 1.2,Pune,2016,21000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.3,8
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.31,7
Honda City i VTEC S,Pune,2014,58407,Petrol,Manual,First,17.4,1497.0,117.3,5.0,6.16,10
Maruti Ciaz ZXi,Pune,2014,49500,Petrol,Manual,First,20.73,1373.0,91.1,5.0,6.0,10
Nissan Sunny XV CVT,Kochi,2013,37199,Petrol,Automatic,First,17.5,1498.0,99.6,5.0,5.43,11
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.65,12
Maruti Ertiga ZDI,Hyderabad,2015,59000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,7.5,9
Maruti Swift Dzire VDI,Jaipur,2015,60000,Diesel,Manual,First,26.59,1248.0,103.6,5.0,6.25,9
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Bangalore,2007,39037,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,9.25,17
Honda Brio S MT,Mumbai,2013,17003,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.15,11
Hyundai i10 Magna Optional 1.1L,Hyderabad,2008,80400,Petrol,Manual,First,16.0,1086.0,66.7,5.0,2.3,16
Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,75200,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.25,12
Maruti Ciaz VDI SHVS,Kochi,2017,41217,Diesel,Manual,First,28.09,1248.0,88.5,5.0,7.4,7
Ford Ikon 1.3 Flair,Pune,2006,98293,Petrol,Manual,Second,13.8,1299.0,103.6,5.0,1.55,18
Volkswagen Polo 1.2 MPI Highline,Pune,2017,54000,Petrol,Manual,Second,16.2,1199.0,103.6,5.0,6.0,7
Honda Jazz 1.2 V i VTEC,Chennai,2016,17377,Petrol,Manual,First,18.7,1199.0,88.7,5.0,5.9,8
Honda Amaze EX i-Dtech,Bangalore,2013,33800,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,4.7,11
Hyundai i20 Asta 1.4 CRDi,Hyderabad,2015,86157,Diesel,Manual,First,22.54,1396.0,88.73,5.0,6.5,9
Maruti Ritz VDi,Hyderabad,2012,146824,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.55,12
Honda City V MT,Chennai,2014,55000,Petrol,Manual,First,16.8,1497.0,116.3,5.0,7.1,10
Skoda Superb 1.8 TSI MT,Hyderabad,2010,53293,Petrol,Manual,First,13.14,1798.0,160.0,5.0,6.0,14
Maruti Vitara Brezza LDi Option,Pune,2017,38000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.99,7
Hyundai i20 Asta,Bangalore,2009,64000,Petrol,Manual,Second,17.0,1197.0,103.6,5.0,4.1,15
Maruti Alto K10 VXI AGS,Hyderabad,2017,25058,Petrol,Automatic,First,24.07,998.0,67.1,5.0,3.95,7
Hyundai EON Era Plus,Kochi,2016,36700,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.38,8
Hyundai i10 Sportz,Mumbai,2011,35000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75,13
Mercedes-Benz SLK-Class SLK 350,Coimbatore,2016,22732,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,55.54,8
Audi A6 2.0 TDI Design Edition,Hyderabad,2014,48000,Diesel,Automatic,First,18.53,1968.0,187.74,5.0,29.0,10
Ford EcoSport 1.5 TDCi Titanium,Bangalore,2013,62084,Diesel,Manual,First,22.77,1498.0,98.59,5.0,6.6,11
Volkswagen Passat Highline DSG,Kolkata,2012,39273,Diesel,Automatic,First,14.3,1968.0,140.0,5.0,6.99,12
Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.75,7
Ford Figo Diesel ZXI,Jaipur,2010,100002,Diesel,Manual,Third,20.0,1399.0,103.6,5.0,1.28,14
Chevrolet Aveo 1.4,Pune,2006,78000,Petrol,Manual,Third,14.49,1399.0,92.7,5.0,1.2,18
Maruti Ritz LXi,Coimbatore,2013,57717,Petrol,Manual,First,18.5,1197.0,85.8,5.0,4.31,11
Land Rover Freelander 2 SE,Chennai,2011,109000,Diesel,Automatic,First,12.39,2179.0,147.51,5.0,16.5,13
Hyundai Grand i10 Asta,Coimbatore,2017,74515,Petrol,Manual,First,18.9,1197.0,103.6,5.0,5.64,7
Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,2017,50484,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,31.12,7
Audi Q5 2008-2012 2.0 TDI,Kochi,2013,13452,Diesel,Automatic,First,12.8,1968.0,167.6,5.0,25.46,11
Hyundai Verna 1.6 VTVT,Kochi,2017,37688,Petrol,Manual,First,17.01,1591.0,121.3,5.0,7.88,7
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Chennai,2017,34000,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,36.0,7
Mercedes-Benz M-Class ML 350 4Matic,Pune,2014,120000,Diesel,Automatic,First,0.0,2987.0,165.0,5.0,30.0,10
Maruti Swift Dzire ZXi,Pune,2008,64000,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,2.85,16
Honda City 1.3 EXI S,Delhi,2011,100000,Petrol,Manual,First,13.0,1343.0,103.6,5.0,3.5,13
Renault Duster 85PS Diesel RxL Optional,Jaipur,2014,75000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,7.5,10
Mercedes-Benz New C-Class 220 CDI AT,Hyderabad,2012,86000,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,19.0,12
BMW X5 xDrive 30d Design Pure Experience 5 Seater,Hyderabad,2015,69000,Diesel,Automatic,First,15.97,2993.0,258.0,5.0,54.0,9
Hyundai Xcent 1.2 Kappa SX Option,Kochi,2015,41721,Petrol,Manual,First,19.1,1197.0,103.6,5.0,4.7,9
Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,Petrol,Automatic,First,22.0,1197.0,81.8,5.0,8.5,7
BMW 3 Series 320d Corporate Edition,Kolkata,2013,38998,Diesel,Automatic,First,16.07,1995.0,181.0,4.0,17.0,11
Maruti Alto 800 LXI,Kochi,2017,54250,Petrol,Manual,First,22.74,796.0,47.3,5.0,3.51,7
Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2013,45979,Diesel,Automatic,Second,17.11,1968.0,174.33,5.0,19.5,11
Mini Cooper S,Pune,2012,37000,Petrol,Automatic,Second,13.6,1598.0,181.0,4.0,17.0,12
Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,46983,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,43.35,9
Chevrolet Beat Diesel LT,Bangalore,2012,40700,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65,12
Maruti Wagon R LXI BS IV,Kochi,2015,43828,Petrol,Manual,First,20.51,998.0,67.04,5.0,3.52,9
Nissan Terrano XV Premium 110 PS,Kolkata,2016,53000,Diesel,Manual,First,19.01,1461.0,108.5,5.0,6.25,8
BMW 3 Series 320d Luxury Plus,Ahmedabad,2015,100000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,24.75,9
Maruti Swift Dzire VXI,Mumbai,2015,19000,Petrol,Manual,First,20.85,1197.0,83.14,5.0,5.25,9
Skoda Yeti Elegance 4X2,Jaipur,2016,84000,Diesel,Manual,First,17.72,1968.0,108.5,5.0,11.0,8
Ford EcoSport 1.5 Ti VCT AT Titanium,Kochi,2018,37630,Petrol,Automatic,First,15.63,1499.0,110.4,5.0,9.1,6
Hyundai i20 1.2 Magna,Chennai,2010,67714,Petrol,Manual,First,18.5,1197.0,103.6,5.0,3.25,14
Maruti S Cross DDiS 200 Sigma Option,Pune,2017,32000,Diesel,Manual,First,15.0,1248.0,88.5,5.0,8.5,7
Hyundai Verna Transform VTVT,Pune,2010,51000,Petrol,Manual,First,16.2,1599.0,103.2,5.0,3.1,14
BMW 3 Series 320d Luxury Line,Kochi,2015,58390,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,19.86,9
Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,Diesel,Manual,First,24.0,1186.0,73.97,5.0,4.9,7
Honda City i-VTEC V,Delhi,2014,55818,Petrol,Manual,Second,17.4,1497.0,117.3,5.0,5.7,10
Maruti Swift 1.3 VXi,Chennai,2006,97800,Petrol,Manual,Third,16.1,1497.0,103.6,5.0,1.75,18
Maruti Swift VDI BSIV,Kolkata,2012,52241,Diesel,Manual,First,25.2,1248.0,103.6,5.0,2.9,12
Maruti Baleno Zeta 1.3,Coimbatore,2018,25433,Diesel,Manual,First,27.39,1248.0,103.6,5.0,7.83,6
Tata Safari Storme 2012-2015 LX,Kochi,2015,40611,Diesel,Manual,First,14.0,2179.0,138.1,7.0,8.15,9
Hyundai Accent GLS,Bangalore,2008,72000,Petrol,Manual,Second,13.2,1495.0,103.6,5.0,2.0,16
Maruti Swift LDI SP Limited Edition,Hyderabad,2016,54631,Diesel,Manual,First,25.2,1248.0,103.6,5.0,6.25,8
Tata Nano XTA,Coimbatore,2016,24941,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.19,8
Maruti Ertiga VDI,Ahmedabad,2017,63939,Diesel,Manual,First,25.47,1248.0,88.5,7.0,7.75,7
Maruti Celerio VXI AMT,Delhi,2014,35214,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,3.2,10
Maruti Swift VDI BSIV,Delhi,2015,63000,Diesel,Manual,First,25.2,1248.0,103.6,5.0,4.9,9
Volkswagen Vento Petrol Highline,Kochi,2012,121377,Petrol,Manual,First,15.04,1598.0,103.6,5.0,3.8,12
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Chennai,2009,100970,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,4.0,15
Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Diesel,Automatic,Second,20.7,1496.0,113.98,5.0,23.5,10
Tata Indica V2 DLS,Chennai,2008,77650,Diesel,Manual,First,17.2,1396.0,53.5,5.0,1.15,16
Land Rover Range Rover 3.0 D,Mumbai,2008,55001,Diesel,Automatic,Second,0.0,1497.0,103.6,5.0,26.5,16
Honda City i-VTEC CVT VX,Bangalore,2015,18955,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,10.65,9
Jaguar XF 2.2 Litre Luxury,Coimbatore,2016,47877,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,35.68,8
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Kochi,2017,43368,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,31.94,7
Chevrolet Cruze LTZ,Chennai,2011,73000,Diesel,Manual,Third,18.3,1991.0,147.9,5.0,4.2,13
Mahindra XUV500 W8 2WD,Ahmedabad,2015,72007,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.9,9
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Kochi,2014,56778,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,15.46,10
Honda Jazz VX,Kochi,2018,20024,Petrol,Manual,First,18.2,1199.0,88.7,5.0,8.46,6
Toyota Etios G,Kolkata,2013,42103,Petrol,Manual,First,16.78,1496.0,88.73,5.0,3.25,11
Maruti Alto LXi BSIII,Hyderabad,2012,67147,Petrol,Manual,First,19.7,796.0,46.3,5.0,2.6,12
Maruti Swift VXI BSIV,Coimbatore,2016,37806,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.2,8
Maruti A-Star Vxi,Pune,2009,85000,Petrol,Manual,Third,19.0,998.0,66.1,5.0,1.8,15
Tata Nano Lx BSIV,Chennai,2011,35000,Petrol,Manual,First,25.4,624.0,37.48,4.0,1.6,13
Ford Figo Titanium Diesel,Kolkata,2015,72035,Diesel,Manual,First,25.5,1498.0,103.6,5.0,2.5,9
Fiat Linea Emotion,Jaipur,2011,48500,Petrol,Manual,First,16.0,1368.0,103.6,5.0,2.5,13
Ford Figo Aspire 1.2 Ti-VCT Trend,Coimbatore,2017,28854,Petrol,Manual,First,18.16,1196.0,86.8,5.0,6.7,7
Maruti Baleno LXI,Hyderabad,2005,92450,Petrol,Manual,First,15.4,1590.0,103.6,5.0,1.2,19
BMW 3 Series 320d Luxury Line,Coimbatore,2016,14351,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,35.55,8
Chevrolet Cruze LTZ,Jaipur,2017,51087,Diesel,Manual,First,17.9,1998.0,163.7,5.0,7.75,7
Mahindra Scorpio 2.6 DX,Chennai,2005,50000,Diesel,Manual,First,12.7,2609.0,116.6,8.0,1.94,19
Tata Indica V2 eLS,Hyderabad,2016,73000,Diesel,Manual,First,25.0,1396.0,103.6,5.0,2.2,8
Chevrolet Cruze LTZ AT,Ahmedabad,2011,60000,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,3.8,13
Toyota Innova 2.5 V Diesel 8-seater,Chennai,2016,50000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,15.65,8
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,36797,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.47,6
Maruti Ritz VXi,Kolkata,2011,50000,Petrol,Manual,Second,18.5,1197.0,85.8,5.0,1.5,13
Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,Ahmedabad,2013,94000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,8.85,11
Toyota Fortuner 4x4 MT,Bangalore,2013,74000,Diesel,Manual,Second,12.55,2982.0,168.5,7.0,17.9,11
Hyundai i10 Sportz AT,Coimbatore,2014,41016,Petrol,Automatic,Second,16.95,1197.0,78.9,5.0,5.08,10
Hyundai Verna 1.6 SX,Bangalore,2012,67000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,6.25,12
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Bangalore,2015,76927,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,22.75,9
Chevrolet Beat LS,Kolkata,2010,17088,Petrol,Manual,First,18.6,1199.0,79.4,5.0,1.46,14
Ford Fiesta 1.4 Duratorq ZXI,Pune,2007,112808,Diesel,Manual,Second,17.8,1399.0,103.6,5.0,2.05,17
Ford Figo Diesel EXI,Coimbatore,2014,74980,Diesel,Manual,First,20.0,1399.0,103.6,5.0,4.08,10
Maruti Celerio VXI AT,Hyderabad,2014,44600,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.55,10
Mercedes-Benz A Class A180 CDI,Mumbai,2013,37000,Diesel,Automatic,First,20.0,2143.0,107.3,5.0,14.0,11
Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591.0,121.3,5.0,10.9,8
Maruti Wagon R VXI BS IV,Bangalore,2010,81245,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45,14
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Delhi,2013,70000,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,15.8,11
Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,2017,4018,Petrol,Manual,First,18.88,1499.0,110.4,5.0,8.25,7
Renault Koleos 2.0 Diesel,Delhi,2013,70000,Diesel,Automatic,Second,13.73,1995.0,148.0,5.0,8.5,11
Mahindra XUV500 W10 2WD,Coimbatore,2016,56532,Diesel,Manual,First,16.0,2179.0,140.0,7.0,15.54,8
Maruti Omni E 8 Str STD,Hyderabad,2013,26875,Petrol,Manual,First,16.8,796.0,34.2,8.0,2.35,11
Maruti Wagon R VXI,Coimbatore,2015,72599,Petrol,Manual,First,22.5,998.0,67.04,5.0,4.32,9
Ford Endeavour XLT TDCi 4X2,Jaipur,2008,205000,Diesel,Manual,Second,13.1,2499.0,141.0,7.0,3.9,16
Hyundai Verna 1.6 SX,Hyderabad,2011,98000,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,5.2,13
Hyundai i20 Magna 1.2,Mumbai,2018,19500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.85,6
Maruti Ertiga ZXI,Bangalore,2013,68000,Petrol,Manual,Second,16.02,1373.0,93.7,7.0,6.25,11
Mahindra XUV500 W9 AT,Coimbatore,2019,19654,Diesel,Automatic,First,14.0,2179.0,155.0,7.0,17.63,5
Maruti SX4 S Cross DDiS 200 Zeta,Mumbai,2017,26000,Diesel,Manual,First,23.65,1248.0,88.5,5.0,9.75,7
Mercedes-Benz SLK-Class SLK 350,Bangalore,2015,10000,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,55.0,9
Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2011,75020,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.1,13
Toyota Fortuner 4x4 MT,Hyderabad,2011,157000,Diesel,Manual,First,12.55,2982.0,168.5,7.0,11.99,13
Mahindra XUV500 W10 2WD,Kochi,2017,43773,Diesel,Manual,First,16.0,2179.0,140.0,7.0,13.54,7
Mercedes-Benz GLE 250d,Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,56.0,8
Honda Jazz 1.2 VX i VTEC,Chennai,2016,23280,Petrol,Manual,First,18.7,1199.0,88.7,5.0,6.5,8
Maruti Swift Dzire VDI,Pune,2013,88000,Diesel,Manual,First,23.4,1248.0,103.6,5.0,4.75,11
Hyundai Verna 1.6 SX VTVT,Hyderabad,2014,67000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,5.6,10
Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,2017,59636,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,29.2,7
Hyundai i20 1.2 Asta Option,Kolkata,2018,11000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.35,6
Honda City 1.5 V MT Sunroof,Mumbai,2013,60669,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.95,11
Honda Amaze VX Diesel,Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,8.5,6
Hyundai Verna 1.6 SX VTVT (O),Kolkata,2013,35000,Petrol,Manual,First,17.1,1591.0,121.3,5.0,4.5,11
Honda Mobilio S i DTEC,Chennai,2015,65000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,5.5,9
Maruti Ertiga ZDI,Kochi,2013,39929,Diesel,Manual,First,20.77,1248.0,88.8,7.0,6.56,11
Maruti Alto K10 LXI,Pune,2014,49000,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.3,10
Toyota Qualis FS B2,Pune,2004,77757,Diesel,Manual,Second,13.1,2446.0,103.6,10.0,3.5,20
Hyundai i10 Sportz,Kochi,2016,21456,Petrol,Manual,First,20.36,1197.0,78.9,5.0,4.55,8
Skoda Laura 1.9 TDI AT Ambiente,Bangalore,2009,74000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,7.75,15
Hyundai i20 Asta Option 1.2,Mumbai,2015,37000,Petrol,Manual,Second,18.6,1197.0,81.83,5.0,5.25,9
BMW 5 Series 2003-2012 530d Highline,Coimbatore,2013,108640,Diesel,Automatic,First,11.5,2993.0,235.0,5.0,23.29,11
BMW 3 Series 320d M Sport,Mumbai,2016,38000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,23.99,8
Chevrolet Aveo 1.4 LT ABS BSIV,Pune,2010,80000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,1.79,14
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mumbai,2011,47000,Diesel,Automatic,Second,14.21,2143.0,203.0,5.0,13.9,13
Audi A6 2011-2015 2.0 TDI Premium Plus,Kolkata,2013,31000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,18.95,11
Maruti Wagon R LXI BS IV,Kolkata,2014,40000,Petrol,Manual,First,20.51,998.0,67.04,5.0,2.49,10
Renault KWID RXT,Jaipur,2016,4152,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.15,8
Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,Diesel,Manual,First,21.66,1498.0,108.62,5.0,6.45,7
Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,2013,55000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.25,11
Maruti Alto 800 LXI,Hyderabad,2014,58500,Petrol,Manual,First,22.74,796.0,47.3,5.0,2.75,10
Hyundai i20 Asta Option 1.2,Kochi,2017,58620,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7.14,7
Hyundai i20 1.2 Sportz,Jaipur,2012,71172,Petrol,Manual,Third,17.0,1197.0,103.6,5.0,3.5,12
Hyundai i20 1.4 Asta,Chennai,2017,12000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.3,7
Maruti Wagon R LXI Optional,Kolkata,2014,25000,Petrol,Manual,First,20.51,998.0,67.04,5.0,2.75,10
Hyundai i20 1.4 Asta Option,Bangalore,2017,43000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,8.2,7
Volkswagen Polo GT TSI,Mumbai,2015,57022,Petrol,Automatic,First,17.21,1197.0,103.6,5.0,6.51,9
Ford Figo Diesel Titanium,Pune,2015,92000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,4.25,9
Maruti Swift ZXI,Coimbatore,2014,33372,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,6.21,10
Hyundai Grand i10 CRDi Magna,Kochi,2016,52625,Diesel,Manual,First,24.0,1120.0,103.6,5.0,4.58,8
Mahindra Xylo H4,Chennai,2016,215000,Diesel,Manual,First,14.02,2179.0,118.3,7.0,7.5,8
Hyundai i10 Magna 1.1,Coimbatore,2014,60138,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.09,10
Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2014,84000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,10.75,10
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,47000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,41.5,10
Maruti Celerio VXI AT,Hyderabad,2014,33450,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.4,10
Volkswagen Vento Diesel Comfortline,Jaipur,2013,125000,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,6.25,11
BMW 3 Series 320d Highline,Pune,2011,99606,Diesel,Automatic,Second,16.07,1995.0,181.0,5.0,10.5,13
Maruti Ertiga ZDI,Mumbai,2014,64000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,7.25,10
Ford Figo Diesel ZXI,Hyderabad,2013,51000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,3.2,11
Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,57000,Petrol,Manual,First,16.47,1198.0,103.6,5.0,3.95,10
Audi A6 3.0 TDI quattro,Coimbatore,2009,48040,Diesel,Automatic,Second,16.77,2967.0,241.38,5.0,12.07,15
Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.6,7
Hyundai Verna 1.6 CRDi EX AT,Delhi,2013,66000,Diesel,Automatic,First,22.32,1582.0,126.3,5.0,5.7,11
Hyundai Santro Xing GL Plus,Kolkata,2013,31000,Petrol,Manual,First,17.92,1086.0,62.1,5.0,1.75,11
Audi A4 2.0 TDI,Delhi,2011,46000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,10.99,13
Audi A4 2.0 TDI,Kolkata,2012,47346,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,14.5,12
Skoda Laura 1.9 TDI MT Ambiente,Jaipur,2009,100000,Diesel,Manual,First,17.0,1896.0,105.0,5.0,3.11,15
Honda CR-V 2.0L 2WD AT,Coimbatore,2015,63856,Petrol,Automatic,First,13.7,1997.0,153.86,5.0,13.96,9
Hyundai Verna 1.6 SX CRDi (O),Coimbatore,2015,72996,Diesel,Manual,First,22.32,1582.0,126.32,5.0,7.11,9
Honda Mobilio RS i DTEC,Chennai,2014,23000,Diesel,Manual,First,24.5,1498.0,98.6,7.0,6.9,10
Hyundai i20 1.2 Asta Option,Coimbatore,2018,15985,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7.77,6
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,2011,98000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,5.5,13
Hyundai i20 Magna 1.2,Hyderabad,2014,70089,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.35,10
Mahindra Bolero VLX BS IV,Chennai,2011,99000,Diesel,Manual,Second,13.6,2523.0,103.6,7.0,4.5,13
Volkswagen Vento 1.5 TDI Comfortline,Jaipur,2014,72000,Diesel,Manual,First,20.34,1498.0,103.2,5.0,4.75,10
Jaguar XF 2.2 Litre Luxury,Coimbatore,2015,44194,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,32.8,9
Maruti Zen LXi - BS III,Mumbai,2005,102000,Petrol,Manual,First,17.3,993.0,103.6,5.0,0.7,19
Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,Diesel,Automatic,First,13.0,2987.0,258.0,5.0,50.29,6
Toyota Fortuner 3.0 Diesel,Mumbai,2010,41650,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,10.99,14
